Name,Category,Rating,Rating Count,Price,Platform
Parallel Space - Multiple accounts & Two face,Personalization,4.5,4590457,0.0,Android
"SoundCloud - Play Music, Audio & New Songs",Music & Audio,4.5,4582554,0.0,Android
Smash Hit,Games,4.5,4530000,0.0,Android
µTorrent®- Torrent Downloader,Video Players & Editors,4.6,4524743,0.0,Android
zomato - online food delivery & restaurant reviews,Food & Drink,4.0,4458966,0.0,Android
Fishdom,Games,4.4,4448642,0.0,Android
Crossy Road,Games,4.5,4437143,0.0,Android
Cooking Fever,Games,4.3,4379538,0.0,Android
Android System WebView,Tools,4.1,4342585,0.0,Android
Talking Tom Gold Run,Games,4.4,4342264,0.0,Android
Need for Speed™ No Limits,Games,4.1,4341111,0.0,Android
Banana Kong,Games,4.6,4340994,0.0,Android
CSR Racing 2 – Free Car Racing Game,Games,4.6,4293965,0.0,Android
Tiny Flashlight + LED,Tools,4.5,4267253,0.0,Android
Turbo VPN- Free VPN Proxy Server & Secure Service,Tools,4.5,4256497,0.0,Android
"Adobe Acrobat Reader: PDF Viewer, Editor & Creator",Productivity,4.6,4251451,0.0,Android
"BIGO LIVE–Live Stream, Live Chat, Go Live",Social,4.3,4250212,0.0,Android
Top Eleven 2020 -  Be a soccer manager,Games,4.6,4248493,0.0,Android
Criminal Case,Games,4.5,4237066,0.0,Android
Messenger Lite: Free Calls & Messages,Communication,4.2,4140608,0.0,Android
War Robots. 6v6 Tactical Multiplayer Battles,Games,4.1,4132144,0.0,Android
"Tinder - Dating, Make Friends and Meet New People",Lifestyle,3.4,4094435,0.0,Android
"Airtel Thanks - Recharge, Bill Pay, Bank, Live TV",Productivity,4.2,4091854,0.0,Android
MORTAL KOMBAT: The Ultimate Fighting Game!,Games,4.2,4071730,0.0,Android
Agar.io,Games,4.0,4049697,0.0,Android
My Cafe — Restaurant game,Games,4.5,3986611,0.0,Android
Wattpad - Read & Write Stories,Books & Reference,3.8,3985290,0.0,Android
DEER HUNTER CLASSIC,Games,4.4,3983011,0.0,Android
Smule: Social Karaoke Singing,Music & Audio,3.9,3970493,0.0,Android
Hill Climb Racing 2,Games,4.4,3948731,0.0,Android
Last Day on Earth: Survival,Games,4.3,3948195,0.0,Android
YouCam Makeup-Magic Selfie Cam & Virtual Makeovers,Photography,4.5,3946106,0.0,Android
Shazam: Discover songs & lyrics in seconds,Music & Audio,4.4,3917781,0.0,Android
Brain Out – Can you pass it?,Games,4.4,3877347,0.0,Android
Tango - Live Video Broadcasts and Streaming Chats,Social,4.4,3850998,0.0,Android
SimSimi,Entertainment,4.3,3813309,0.0,Android
Twitch: Livestream Multiplayer Games & Esports,Entertainment,4.6,3808535,0.0,Android
"MyTelkomsel – Check & Buy Packages, Redeem POIN",Tools,3.8,3805892,0.0,Android
"Canva: Graphic Design, Video Collage, Logo Maker",Art & Design,4.7,3794400,0.0,Android
Minecraft,Games,4.5,3773087,6.99,Android
"Firefox Browser: fast, private & safe web browser",Communication,3.9,3724650,0.0,Android
Files by Google: Clean up space on your phone,Tools,4.6,3706643,0.0,Android
Microsoft SwiftKey Keyboard,Productivity,4.3,3631006,0.0,Android
"Gojek - Ojek Taxi Booking, Delivery and Payment",Travel & Local,4.2,3596781,0.0,Android
Gaana Music Hotshots Hindi Song Free Tamil MP3 App,Music & Audio,4.3,3591890,0.0,Android
Brain Test: Tricky Puzzles,Games,4.6,3583430,0.0,Android
"eBay - Buy, sell and discover deals on top brands",Shopping,4.7,3558888,0.0,Android
Tumblr,Social,4.4,3518283,0.0,Android
Grow Empire: Rome,Games,4.5,3508622,0.0,Android
"Candy Camera - selfie, beauty camera, photo editor",Photography,4.4,3503393,0.0,Android
Opera browser with free VPN,Communication,4.5,3482996,0.0,Android
Kaspersky Mobile Antivirus: AppLock & Web Security,Tools,4.8,3457108,0.0,Android
"KineMaster - Video Editor, Video Maker",Video Players & Editors,4.4,3456148,0.0,Android
Pet Rescue Saga,Games,4.6,3452500,0.0,Android
Standoff 2,Games,4.6,3406413,0.0,Android
World of Tanks Blitz PVP MMO 3D tank game for free,Games,4.3,3392171,0.0,Android
"FaceApp: Easy Selfie Editor, Beauty & Video",Photography,4.6,3390986,0.0,Android
Modern Combat 5: eSports FPS,Games,4.1,3376034,0.0,Android
Plague Inc.,Games,4.4,3369170,0.0,Android
