Name,Rating,Rating Count,Price,Category,Platform
Marvel Contest of Champions,4.5,593557,0.0,Games,iOS
⋆Solitaire,4.5,583500,0.0,Games,iOS
"TuneIn - NFL, NBA & News Radio",4.5,578598,0.0,Music,iOS
AMAZE!!!,4.5,577898,0.0,Games,iOS
DoubleDown Casino Slots Games,4.5,571773,0.0,Games,iOS
Acorns: Invest Spare Change,4.5,568645,0.0,Finance,iOS
What's the Word? - words quiz,5.0,566916,0.0,Games,iOS
DragonVale,4.5,565924,0.0,Games,iOS
Temple Run 2,4.5,549722,0.0,Games,iOS
Clear Vision (17+),4.5,546390,0.99,Games,iOS
Brawl Stars,5.0,541540,0.0,Games,iOS
Smurfs' Village,4.5,539850,0.0,Games,iOS
Xbox,4.5,539743,0.0,Entertainment,iOS
Head Soccer,5.0,539102,0.0,Games,iOS
Asphalt 9: Legends,5.0,537798,0.0,Games,iOS
Kim Kardashian: Hollywood,4.5,536916,0.0,Games,iOS
Wattpad - Books & Stories,4.5,527436,0.0,Book,iOS
Colorfy: Coloring Art Game,5.0,526156,0.0,Entertainment,iOS
Homescapes,4.5,522178,0.0,Games,iOS
Xoom Money Transfer,5.0,521926,0.0,Finance,iOS
PAC-MAN,3.0,520139,0.0,Games,iOS
Sonic Dash,4.5,519922,0.0,Games,iOS
Plants vs. Zombies™ 2,4.5,517763,0.0,Games,iOS
Word Cookies!®,4.5,514152,0.0,Games,iOS
Scanner App: PDF Document Scan,4.5,514143,0.0,Business,iOS
Credit One Bank Mobile,4.5,506831,0.0,Finance,iOS
Amazon Music,4.5,505849,0.0,Music,iOS
"iHeart: Radio, Music, Podcasts",4.0,500916,0.0,Music,iOS
Snake VS Block,4.5,500490,0.0,Games,iOS
YOLO: Anonymous Q&A,4.5,500484,0.0,Social Networking,iOS
Wordscapes,5.0,500417,0.0,Games,iOS
Redfin Buy & Sell Real Estate,5.0,499780,0.0,Lifestyle,iOS
Panda Pop! Bubble Shooter Game,4.5,498760,0.0,Games,iOS
Flixster - Showtimes + Tickets,3.5,494316,0.0,Entertainment,iOS
Love Balls,4.5,489879,0.0,Games,iOS
Dig This!,4.5,489004,0.0,Games,iOS
Uber Driver,4.5,484846,0.0,Business,iOS
IMDb: Movies & TV Shows,4.5,482502,0.0,Entertainment,iOS
SONIC Drive-In,5.0,481998,0.0,Food & Drink,iOS
Netflix,3.5,479431,0.0,Entertainment,iOS
Fallout Shelter,4.5,478874,0.0,Games,iOS
Funimate Video Musical Editor,4.5,475582,0.0,Photo & Video,iOS
Idle Capitalist,5.0,475372,0.0,Games,iOS
Microsoft OneNote,4.5,474129,0.0,Productivity,iOS
Fun Race 3D,4.5,466286,0.0,Games,iOS
Dunkin',4.5,462134,0.0,Food & Drink,iOS
Jigsaw Puzzle,4.5,459279,0.0,Games,iOS
Design This Home,4.5,448177,0.0,Games,iOS
Casino Slots - House of Fun™,4.5,446871,0.0,Games,iOS
Words With Friends 2 Word Game,4.5,444111,0.0,Games,iOS
Color by Number：Coloring Games,5.0,442750,0.0,Games,iOS
Tiny Tower,4.5,439683,0.0,Games,iOS
Audiomack: Download New Music,5.0,437655,0.0,Music,iOS
Candy Crush Friends Saga,5.0,432421,0.0,Games,iOS
Jetpack Joyride,4.5,431255,0.0,Games,iOS
Township: Farm & City Building,4.5,423946,0.0,Games,iOS
Pixel Art - Color by Number,4.5,421301,0.0,Games,iOS
Stickman Hook,4.5,418631,0.0,Games,iOS
"Cash, Inc. Fame & Fortune Game",5.0,416881,0.0,Games,iOS
CBS Sports App Scores & News,4.5,415760,0.0,Sports,iOS
Magic Jigsaw Puzzles,4.5,414931,0.0,Games,iOS
Glassdoor Jobs - Job Search,4.5,414804,0.0,Business,iOS
NFL,4.5,413413,0.0,Sports,iOS
Remind: School Communication,5.0,410374,0.0,Education,iOS
NBA LIVE Mobile Basketball,4.5,410315,0.0,Games,iOS
"KAYAK Flights, Hotels & Cars",4.5,406600,0.0,Travel,iOS
Dune!,4.5,404765,0.0,Games,iOS
Family Dollar,5.0,399107,0.0,Shopping,iOS
Zynga Poker - Texas Holdem,4.5,395993,0.0,Games,iOS
Geometry Dash Lite,4.5,394402,0.0,Games,iOS
Doodle Jump,4.5,394078,0.99,Games,iOS
Flow Free,4.5,393309,0.0,Games,iOS
Fishdom,4.5,393305,0.0,Games,iOS
Candy Crush Soda Saga,4.5,392258,0.0,Games,iOS
DIRECTV App for iPad,4.5,391863,0.0,Entertainment,iOS
Goodreads: Book Reviews,4.5,381706,0.0,Book,iOS
TurboTax Tax Return App,5.0,380436,0.0,Finance,iOS
Color Bump 3D,4.5,376354,0.0,Games,iOS
Run Race 3D,4.5,375847,0.0,Games,iOS
Workday,4.5,375558,0.0,Business,iOS
Idle Miner Tycoon: Cash Empire,4.5,372099,0.0,Games,iOS
Color Road!,4.5,371679,0.0,Games,iOS
Seamless: Local Food Delivery,5.0,367017,0.0,Food & Drink,iOS
Gardenscapes,4.5,365762,0.0,Games,iOS
Allstate® Mobile,5.0,365743,0.0,Finance,iOS
Ink Inc. - Tattoo Drawing,4.5,365511,0.0,Games,iOS
Draw Something,4.5,364375,2.99,Games,iOS
U-verse,4.5,358707,0.0,Entertainment,iOS
Talking Tom Gold Run,4.5,358648,0.0,Games,iOS
Solitaire card games free cell,3.0,358521,0.0,Games,iOS
McDonald's,4.5,348474,0.0,Food & Drink,iOS
CNBC: Stock Market & Business,4.5,343203,0.0,News,iOS
Cinemark Theatres,5.0,342165,0.0,Entertainment,iOS
Genius Scan - PDF Scanner,5.0,342165,0.0,Business,iOS
Spinrilla - Mixtapes & Music,4.5,340467,0.0,Music,iOS
Fire Balls 3D,4.5,340377,0.0,Games,iOS
Crunchyroll,4.5,335172,0.0,Entertainment,iOS
Fruit Ninja®,4.5,334237,0.0,Games,iOS
Animal Crossing: Pocket Camp,5.0,332668,0.0,Games,iOS
ZipRecruiter Job Search,5.0,332126,0.0,Business,iOS
